"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"96 years"	"96"	"2018"	"2018"	36338	Not Applicable	Not Applicable
	"96 years"	"96"	"2019"	"2019"	36034	Not Applicable	Not Applicable
	"96 years"	"96"	"2020"	"2020"	42141	Not Applicable	Not Applicable
	"96 years"	"96"	"2021 "	"2021"	38138	Not Applicable	Not Applicable
"Total"	"96 years"	"96"			152651	Not Applicable	Not Applicable
	"97 years"	"97"	"2018"	"2018"	28908	Not Applicable	Not Applicable
	"97 years"	"97"	"2019"	"2019"	28978	Not Applicable	Not Applicable
	"97 years"	"97"	"2020"	"2020"	33368	Not Applicable	Not Applicable
	"97 years"	"97"	"2021 "	"2021"	30531	Not Applicable	Not Applicable
"Total"	"97 years"	"97"			121785	Not Applicable	Not Applicable
	"98 years"	"98"	"2018"	"2018"	21307	Not Applicable	Not Applicable
	"98 years"	"98"	"2019"	"2019"	22195	Not Applicable	Not Applicable
	"98 years"	"98"	"2020"	"2020"	25839	Not Applicable	Not Applicable
	"98 years"	"98"	"2021 "	"2021"	23085	Not Applicable	Not Applicable
"Total"	"98 years"	"98"			92426	Not Applicable	Not Applicable
	"99 years"	"99"	"2018"	"2018"	14720	Not Applicable	Not Applicable
	"99 years"	"99"	"2019"	"2019"	15533	Not Applicable	Not Applicable
	"99 years"	"99"	"2020"	"2020"	19187	Not Applicable	Not Applicable
	"99 years"	"99"	"2021 "	"2021"	17462	Not Applicable	Not Applicable
"Total"	"99 years"	"99"			66902	Not Applicable	Not Applicable
	"100+ years"	"100"	"2018"	"2018"	30249	Not Applicable	Not Applicable
	"100+ years"	"100"	"2019"	"2019"	30731	Not Applicable	Not Applicable
	"100+ years"	"100"	"2020"	"2020"	36632	Not Applicable	Not Applicable
	"100+ years"	"100"	"2021 "	"2021"	33496	Not Applicable	Not Applicable
"Total"	"100+ years"	"100"			131108	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2018"	"2018"	144	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2019"	"2019"	147	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2020"	"2020"	116	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2021 "	"2021"	93	Not Applicable	Not Applicable
"Total"	"Not Stated"	"NS"			500	Not Applicable	Not Applicable
"Total"					12542003	1316784825	952.5
"---"
"Dataset: Underlying Cause of Death, 2018-2021, Single Race"
"Query Parameters:"
"Group By: Single-Year Ages; Year"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
"Query Date: Apr 16, 2024 2:54:25 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2021 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"2018-2021, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Apr 16, 2024 2:54:25 PM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when they include a subset of ages 85-100+ because populations are not"
"available for those ages. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Ages 85-100."
"2. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated."
"3. The population figures for years 2021 are single-race estimates of the July 1 resident population, based on the Blended Base"
"produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count, from the Vintage 2021 postcensal"
"series released by the Census Bureau on June 30, 2022. The population figures for year 2020 are single-race estimates of the"
"July 1 resident population, from the Vintage 2020 postcensal series based on April 2010 Census, released by the Census Bureau on"
"July 27, 2021. The population figures for year 2019 are single-race estimates of the July 1 resident population, from the"
"Vintage 2019 postcensal series based on April 2010 Census, released by the Census Bureau on June 25, 2020. The population"
"figures for year 2018 are single-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series based"
"on April 2010 Census, released by the Census Bureau on June 20, 2019. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Population Data."
"4. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Age"
"Group."
